Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,1 Mbps","10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,35 Mbps,36 Mbps,40 Mbps,41 Mbps,45 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,59 Mbps,60 Mbps,61 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,80 Mbps,85 Mbps,90 Mbps,95 Mbps,98 Mbps,100 Mbps,"100,1 Mbps","100,25 Mbps",105 Mbps,110 Mbps,120 Mbps,122 Mbps,125 Mbps,130 Mbps,140 Mbps,150 Mbps,155 Mbps,160 Mbps,164 Mbps,165 Mbps,180 Mbps,200 Mbps,205 Mbps,212 Mbps,220 Mbps,225 Mbps,240 Mbps,246 Mbps,250 Mbps,256 Mbps,275 Mbps,300 Mbps,320 Mbps,325 Mbps,330 Mbps,350 Mbps,400 Mbps,450 Mbps,480 Mbps,500 Mbps,512 Mbps,520 Mbps,540 Mbps,600 Mbps,680 Mbps,700 Mbps,800 Mbps,850 Mbps,900 Mbps,999 Mbps,1000 Mbps,1024 Mbps,4000 Mbps,10000 Mbps
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Dudignac,6588040,,,,,,8,,,,,36,,,247,,,46,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,,,,,,1,,193,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Morea,6588080,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Patricios,6588110,,,,,,,,,,,50,,,,,,16,,,,,,44,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,,,,,,,,,,,42,,,,,,6,,,,,,37,,,,,,,,29,,,,32,,,,,,,,,,,11,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,,,,,,,,,,,763,,20,,,,,,103,,36,,,,,,,,,,1231,,,,,,,,,,,,,,,1,266,,,,,,,,,813,,,,,,,31,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10,,2,,,,,,,,,,,,,386,,,,,,,6,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,,,,,,,,,,,,,,,,,,,,,,,52,,,,1153,,,,,,,,,,,,,22,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,,,,,3,,,,,,,,147,,,,,,,,447,,122,,,,1,,,,1422,,,,,,,,,,,,,,,44,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,,,,,,,,,,,,,,632,,,,,7,,28,,45,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,,,,,,,,,,,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,,,,,2,,,1,,,,,40,,,1,,,,,116,,,,,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Coronel Seguí,6021020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Mechita,6021030,,,,,,,,,,,275,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Almirante Brown,Adrogué,6028010,,1,10,1,34,21,,8,,,1,,63,7,,6,12,,,,37,,254,,,,,,,,135,,,,3,,,,,,3,,,,,11552,,,,,,,,,,527,,,,,,143,,,,,10,,,,,,2616,,,,,,,,,,1122,,,,,,1,,,,,,,,,,3823,,,,,,,,544,,,,,,,,,,,325,,,
BUENOS AIRES,Almirante Brown,Burzaco,6028010,53,1,9,1,23,15,,77,,,14,,34,115,,17,82,,,,30,,671,,,,,,,,60,,,,1,,,,,,5,,,,,11393,,,,,,,,,,397,,,,,,698,,,,,34,,,,,,2028,,,,,,,,,,4263,,,,,,2,,,,,,,,,,6495,,,,,,,,1114,,,,,,,,,,,1030,,,
BUENOS AIRES,Almirante Brown,Claypole,6028010,1,,,,2,6,,,,,2,,3,,,4,5,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,4111,,,,,,,,,,129,,,,,,352,,,,,7,,,,,,652,,,,,,,,,,2165,,,,,,,,,,,,,,,,3040,,,,,,,,555,,,,,,,,,,,568,,,
BUENOS AIRES,Almirante Brown,Don Orione,6028010,,,,,,,,,,,,,,,,3,,,,,,,225,,,,,,,,42,,,,,,,,,,2,,,,,5,,,,,,,,,,14,,,,,,312,,,,,9,,,,,,45,,,,,,,,,,2051,,,,,,,,,,,,,,,,2205,,,,,,,,390,,,,,,,,,,,496,,,
BUENOS AIRES,Almirante Brown,Glew,6028010,1,,5,,7,4,,15,,,5,,27,29,,9,12,,,,16,,203,,,,,,,,8,,,,,,,,,,27,,,,,11741,,,,,,,,,,151,,,,,,356,,,,,4,,,,,,651,,,,,,,,,,3557,,,,,,,,,,,,,,,,2970,,,,,,,,563,,,,,,,,,,,741,,,
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,,,,,,1,,,,,,,2,,,2,1,,,,3,,260,,,,,,,,,,,,,,,,,,2,,,,,1384,,,,,,,,,,172,,,,,,292,,,,,12,,,,,,1208,,,,,,,,,,1723,,,,,,,,,,,,,,,,3043,,,,,,,,463,,,,,,,,,,,423,,,
BUENOS AIRES,Almirante Brown,Longchamps,6028010,1,,1,,3,,,,,,3,,21,,,10,1,,,,4,,356,,,,,,,,4,,,,,,,,,,3,,,,,7431,,,,,,,,,,215,,,,,,372,,,,,12,,,,,,1149,,,,,,,,,,2650,,,,,,,,,,,,,,,,3580,,,,,,,,629,,,,,,,,,,,525,,,
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1,,,,,3,,,,,,,,,,5,1,,,,,,74,,,,,,,,,,,,2,,,,,,,,,,,6,,,,,,,,,,79,,,,,,172,,,,,4,,,,,,398,,,,,,,,,,1450,,,,,,,,,,,,,,,,2008,,,,,,,,366,,,,,,,,,,,364,,,
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,,,,,,,,,,,,,2,,,2,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,4095,,,,,,,,,,17,,,,,,202,,,,,4,,,,,,120,,,,,,,,,,1219,,,,,,,,,,,,,,,,1401,,,,,,,,304,,,,,,,,,,,241,,,
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,1,,3,,10,28,,,,,97,,18,339,,9,52,,,,3,,408,,,,,,,,9,,,,,,,,,,,,,,,9967,,,,,,,,,,203,,,,,,464,,,,,14,,,,,,1059,,,,,,,,,,3072,,,,,,,,,,,,,,,,4295,,,,,,,,753,,,,,,,,,,,666,,,
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1,,1,,4,9,,,,,40,,21,,,1,88,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,3236,,,,,,,,,,33,,,,,,178,,,,,1,,,,,,132,,,,,,,,,,1542,,,,,,,,,,,,,,,,1795,,,,,,,,327,,,,,,,,,,,343,,,
BUENOS AIRES,Almirante Brown,San Jose,6028010,,,3,,1,,,,,,,,2,,,5,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,66,,,,,,438,,,,,11,,,,,,403,,,,,,,,,,3114,,,,,,,,,,,,,,,,3416,,,,,,,,647,,,,,,,,,,,622,,,
BUENOS AIRES,AMBA,Otros,Sin Datos,0,,13,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Arrecifes,Arrecifes,6077010,159,,1,,6,137,,275,,,546,,165,292,,,95,,,,285,,10,,,,,,,,451,,,,4483,,,,,,,,,,,3,,,,,,,,,,1821,,,,,,,,,,,,,,,,,1301,,,,,,,,,,,,,,,,,,,,,,,,,,376,,,,,,,,23,,,,,,,,,,,6,,,
BUENOS AIRES,Arrecifes,Todd,6077020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Arrecifes,Viña,6077030,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Avellaneda,Avellaneda,6035010,34,,8,5,43,41,,1,,,27,,288,,,12,24,,,,397,,211,,,,,,,,817,,,,22,,,,,,1,,,,,2948,,,,,,,,,,2591,,,,,,86,,,,,6,,,,,,3502,,,,,,,,,,801,,,,,,1,,,,,,,,,,3935,,,,,,,,553,,,,78,,,,,,,284,,,
BUENOS AIRES,Avellaneda,Crucesita,6035010,,,,,1,1,,,,,1,,6,,,5,1,,,,3,,93,,,,,,,,1,,,,16,,,,,,2,,,,,13,,,,,,,,,,2174,,,,,,86,,,,,6,,,,,,2070,,,,,,,,,,609,,,,,,,,,,,,,,,,2207,,,,,,,,312,,,,65,,,,,,,217,,,
BUENOS AIRES,Avellaneda,Dock Sud,6035010,3,,1,,5,5,,,,,5,,,,,,5,,,,1,,29,,,,,,,,,,,,4,,,,,23,,,,,,3,,,,,,,,,,1291,,,,,,29,,,,,2,,,,,,481,,,,,,,,,,262,,,,,,,,,,,,,,,,329,,,,,,,,38,,,,32,,,,,,,40,,,
BUENOS AIRES,Avellaneda,Gerli,6035010,,,1,,2,2,,,,,,,1,,,,,,,,,,241,,,,,,,,,,,,13,,,,,,2,,,,,2,,,,,,,,,,3531,,,,,,169,,,,,7,,,,,,2378,,,,,,,,,,943,,,,,,,,,,,,,,,,2660,,,,,,,,320,,,,73,,,,,,,258,,,
BUENOS AIRES,Avellaneda,Pineyro,6035010,1,,4,,2,5,,1,,,,,4,,,6,,,,,2,,186,,,,,,,,1,,,,7,,,,,,,,,,,12,,,,,1,,,,,1997,,,,,,134,,,,,7,,,,,,1909,,,,,,,,,,878,,,,,,,,,,,,,,,,2585,,,,,,,,318,,,,60,,,,,,2,270,,,
BUENOS AIRES,Avellaneda,Sarandí,6035010,3,,12,1,35,5,,2,,,1,,215,,,14,,,,,128,,260,,,,,,,,1605,,,,35,,,,,,5,,,,,3394,,,,,,,,,,6520,,,,,,217,,,,,5,,,,,,4481,,,,,,,,,,1555,,,,,,,,,,,,,,,,4536,,,,,,,,538,,,,139,,,,,,,436,,,
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,2,,5,,8,9,,1,,,5,,2,,,6,8,,10,,468,,342,,,,,,,,9,,,,36,,,,,,1,,,,,15,,,4,,8,,,,,5503,,,,,,254,,,,,9,,,,,,3149,,,,,,,,,,1722,,,,,,,,,,,,,,,,3758,,,,,,,,513,,,,104,,,,,,,672,,,
BUENOS AIRES,Avellaneda,Wilde,6035010,3,,5,,32,6,,,,,1,,116,,,7,7,,,,261,,375,,,,,,,,1685,,,,61,,,,,,5,,,,,3079,,,2,,1,,,,,7974,,,,,,322,,,,,18,,,,,,4995,,,,,,,,,,2199,,,,,,,,,,,,,,,,5714,,,,,,,,761,,,,145,,,,,,,573,,,
BUENOS AIRES,Ayacucho,Ayacucho,6042010,,,,,7,119,,,,,,,109,,,,23,,,,752,,,,,,,,,,1202,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,La Constancia,6042020,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,Solanet,6042030,,,,,,17,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,Udaquiola,6042040,,,,1,,31,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Azul,Azul,6049020,14,,9,,55,171,,819,,,,,754,,,121,2,,,,951,,130,,,,,,,,683,,,,9,,,,,,,,,,,14,,,,,2,,,,,1234,,,1,,,,,,,,,,,,,,8122,,,,,,,,,,,,,,,,,,,,,,,,,,5359,,,,,,,,209,,,,,,,,,,,28,,,
BUENOS AIRES,Azul,Cacharí,6049030,,,,,,,,458,,,,,,,,56,5,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Azul,Chillar,6049040,,,,1,,,,8,,,,,,545,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,33,2,19,1,184,152,,83,,,323,,1714,200,,362,427,,7,,2856,1,423,,,3,96,,2,3,1263,3,2,,27,,1,,,,75,,,,,1602,,,,,,,,,,3642,,,,,59,,,,,2,,,,,,,59694,,,,,,,,,,25352,,,,,,,,,,,,,,,,25197,,,,,,,,1520,,,,,,,,,,,147,,,
BUENOS AIRES,Bahía Blanca,Cabildo,6056020,6,,,,,,,,,,,,,9,,1,10,,,,,,,,,,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,,,,,2,,,,,,,,24,,,,11,,,,48,,3,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,929,,,,,,,,,,,,,,,,,,,,,,,,,,608,,,,,,,,26,,,,,,,,,,,2,,,
BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Balcarce,6063010,9,,,,24,,,98,,,,,310,,,,327,,,,795,,253,,,,1,,,,611,,,,,,,,,,,,,,,24,,,,,,,,,,836,,,,,,,,,,,,,,,,,7503,,,,,,,,,,,,,,,,,,,,,,,,,,3395,,,,,,,,137,,,,,,,,,,,28,,,
BUENOS AIRES,Balcarce,Los Pinos,6063020,5,,,,,,,5,,,,,,,,,17,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Napaleofú,6063030,,,,,,38,,,,,23,,,,,,56,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Ramos Otero,6063040,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,San Agustín,6063050,24,,,,,,,8,,,,,,,,,25,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060,,,,,,,,1,,,,,,,,,18,,,,1,,15,,,,,,,,4,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Baradero,6070010,1,,1,,,35,,,,,924,,,1,,1,345,,,,1,,482,,,,,,,,47,,,,15,,,,,,,,,,,,,,,,,,,,,414,,,,,,,,,,,,,,,,,4040,,,,,,,,,,,,,,,,24,,,,,,,,,,3006,,,,,,,,54,,,,,,,,,,,19,,,
BUENOS AIRES,Baradero,Irineo Portela,6070020,,,,,,,,,,,76,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Santa Coloma,6070030,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
