,Año,Trimestre, Provincia ,Accesos por cada 100 hogares,Año-Trimestre
209,2022,1, San Juan ,"43,55 ",2022-Q1
210,2022,1, San Luis ,"80,72 ",2022-Q1
211,2022,1, Santa Cruz ,"43,34 ",2022-Q1
212,2022,1, Santa Fe ,"77,30 ",2022-Q1
213,2022,1, Santiago Del Estero ,"47,17 ",2022-Q1
214,2022,1, Tierra Del Fuego ,"98,29 ",2022-Q1
215,2022,1, Tucumán ,"57,39 ",2022-Q1
216,2021,4, Buenos Aires ,"75,66 ",2021-Q4
217,2021,4, Capital Federal ,"111,27 ",2021-Q4
218,2021,4, Catamarca ,"55,25 ",2021-Q4
219,2021,4, Chaco ,"44,05 ",2021-Q4
220,2021,4, Chubut ,"82,57 ",2021-Q4
221,2021,4, Córdoba ,"84,51 ",2021-Q4
222,2021,4, Corrientes ,"45,51 ",2021-Q4
223,2021,4, Entre Ríos ,"63,16 ",2021-Q4
224,2021,4, Formosa ,"34,45 ",2021-Q4
225,2021,4, Jujuy ,"56,92 ",2021-Q4
226,2021,4, La Pampa ,"89,57 ",2021-Q4
227,2021,4, La Rioja ,"77,92 ",2021-Q4
228,2021,4, Mendoza ,"47,51 ",2021-Q4
229,2021,4, Misiones ,"49,06 ",2021-Q4
230,2021,4, Neuquén ,"73,30 ",2021-Q4
231,2021,4, Río Negro ,"65,69 ",2021-Q4
232,2021,4, Salta ,"56,81 ",2021-Q4
233,2021,4, San Juan ,"39,59 ",2021-Q4
234,2021,4, San Luis ,"80,30 ",2021-Q4
235,2021,4, Santa Cruz ,"43,05 ",2021-Q4
236,2021,4, Santa Fe ,"77,09 ",2021-Q4
237,2021,4, Santiago Del Estero ,"47,05 ",2021-Q4
238,2021,4, Tierra Del Fuego ,"98,40 ",2021-Q4
239,2021,4, Tucumán ,"55,93 ",2021-Q4
240,2021,3, Buenos Aires ,"71,68 ",2021-Q3
241,2021,3, Capital Federal ,"111,27 ",2021-Q3
242,2021,3, Catamarca ,"52,71 ",2021-Q3
243,2021,3, Chaco ,"42,96 ",2021-Q3
244,2021,3, Chubut ,"80,71 ",2021-Q3
245,2021,3, Córdoba ,"81,28 ",2021-Q3
246,2021,3, Corrientes ,"44,90 ",2021-Q3
247,2021,3, Entre Ríos ,"62,18 ",2021-Q3
248,2021,3, Formosa ,"33,96 ",2021-Q3
249,2021,3, Jujuy ,"55,69 ",2021-Q3
250,2021,3, La Pampa ,"84,28 ",2021-Q3
251,2021,3, La Rioja ,"77,26 ",2021-Q3
252,2021,3, Mendoza ,"45,55 ",2021-Q3
253,2021,3, Misiones ,"45,57 ",2021-Q3
254,2021,3, Neuquén ,"69,71 ",2021-Q3
255,2021,3, Río Negro ,"61,97 ",2021-Q3
256,2021,3, Salta ,"55,96 ",2021-Q3
257,2021,3, San Juan ,"39,46 ",2021-Q3
258,2021,3, San Luis ,"79,87 ",2021-Q3
259,2021,3, Santa Cruz ,"43,75 ",2021-Q3
260,2021,3, Santa Fe ,"75,02 ",2021-Q3
261,2021,3, Santiago Del Estero ,"47,00 ",2021-Q3
262,2021,3, Tierra Del Fuego ,"94,95 ",2021-Q3
263,2021,3, Tucumán ,"54,64 ",2021-Q3
264,2021,2, Buenos Aires ,"70,00 ",2021-Q2
265,2021,2, Capital Federal ,"110,14 ",2021-Q2
266,2021,2, Catamarca ,"52,34 ",2021-Q2
267,2021,2, Chaco ,"43,33 ",2021-Q2
268,2021,2, Chubut ,"72,29 ",2021-Q2
269,2021,2, Córdoba ,"80,12 ",2021-Q2
270,2021,2, Corrientes ,"43,54 ",2021-Q2
271,2021,2, Entre Ríos ,"61,66 ",2021-Q2
272,2021,2, Formosa ,"33,23 ",2021-Q2
273,2021,2, Jujuy ,"56,18 ",2021-Q2
274,2021,2, La Pampa ,"82,08 ",2021-Q2
275,2021,2, La Rioja ,"76,98 ",2021-Q2
276,2021,2, Mendoza ,"40,97 ",2021-Q2
277,2021,2, Misiones ,"45,01 ",2021-Q2
278,2021,2, Neuquén ,"69,14 ",2021-Q2
279,2021,2, Río Negro ,"61,94 ",2021-Q2
280,2021,2, Salta ,"54,93 ",2021-Q2
281,2021,2, San Juan ,"39,28 ",2021-Q2
282,2021,2, San Luis ,"83,48 ",2021-Q2
283,2021,2, Santa Cruz ,"44,01 ",2021-Q2
284,2021,2, Santa Fe ,"75,07 ",2021-Q2
285,2021,2, Santiago Del Estero ,"46,56 ",2021-Q2
286,2021,2, Tierra Del Fuego ,"67,89 ",2021-Q2
287,2021,2, Tucumán ,"54,93 ",2021-Q2
288,2021,1, Buenos Aires ,"69,11 ",2021-Q1
289,2021,1, Capital Federal ,"108,42 ",2021-Q1
290,2021,1, Catamarca ,"48,90 ",2021-Q1
291,2021,1, Chaco ,"43,14 ",2021-Q1
292,2021,1, Chubut ,"68,99 ",2021-Q1
293,2021,1, Córdoba ,"78,59 ",2021-Q1
294,2021,1, Corrientes ,"42,66 ",2021-Q1
295,2021,1, Entre Ríos ,"60,44 ",2021-Q1
296,2021,1, Formosa ,"32,73 ",2021-Q1
297,2021,1, Jujuy ,"55,63 ",2021-Q1
298,2021,1, La Pampa ,"81,78 ",2021-Q1
299,2021,1, La Rioja ,"49,81 ",2021-Q1
300,2021,1, Mendoza ,"39,15 ",2021-Q1
301,2021,1, Misiones ,"43,17 ",2021-Q1
302,2021,1, Neuquén ,"66,84 ",2021-Q1
303,2021,1, Río Negro ,"60,88 ",2021-Q1
304,2021,1, Salta ,"53,93 ",2021-Q1
305,2021,1, San Juan ,"39,06 ",2021-Q1
306,2021,1, San Luis ,"81,24 ",2021-Q1
307,2021,1, Santa Cruz ,"41,65 ",2021-Q1
308,2021,1, Santa Fe ,"73,92 ",2021-Q1
309,2021,1, Santiago Del Estero ,"45,67 ",2021-Q1
310,2021,1, Tierra Del Fuego ,"77,35 ",2021-Q1
311,2021,1, Tucumán ,"54,82 ",2021-Q1
312,2020,4, Buenos Aires ,"68,98 ",2020-Q4
313,2020,4, Capital Federal ,"108,31 ",2020-Q4
314,2020,4, Catamarca ,"49,41 ",2020-Q4
